evaluation_date,top10_average_predicted_return,top10_average_actual_return,top10_median_actual_return,top10_best_stock,top10_best_stock_return,top10_worst_stock,top10_worst_stock_return
2026-02-24,0.022405951792360424,0.023543646922181118,0.00802610633556195,222080 씨아이에스,0.1756440281030444,088350 한화생명,-0.1088777219430485
2026-02-25,0.01061296519922624,0.0021323507137618212,0.0033041788143829,047040 대우건설,0.0789149198520344,000250 삼천당제약,-0.0489396411092984
2026-02-26,0.017134299199455923,0.02403862656159021,0.015422825307988301,047040 대우건설,0.1485714285714285,222080 씨아이에스,-0.0396383866481223
2026-02-27,0.02101322999732502,0.0029706637612993093,-0.007296317293836899,226950 올릭스,0.1292346298619824,036540 SFA반도체,-0.052757793764988
2026-03-03,0.02715193061529663,-0.09684964418678457,-0.10606009166525204,277810 레인보우로보틱스,-0.0232558139534884,042700 한미반도체,-0.1282843894899537
2026-03-04,0.02304467624120062,-0.16876890948678586,-0.1602415966386554,171090 선익시스템,-0.1007431874483897,032820 우리기술,-0.2520515826494724
2026-03-05,0.02620167994384537,0.1490091934185496,0.14255025747952585,079550 LIG디펜스앤에어로스페이스,0.2326332794830372,038500 삼표시멘트,0.0889057750759878
2026-03-06,0.02034857728150006,0.03211349380744553,0.028164064602455553,025900 동화기업,0.1050920910075838,090710 휴림로봇,-0.0100076982294072
2026-03-09,-0.0045071435869222,-0.050873378634220576,-0.04023588803545265,047040 대우건설,0.0045610034207526,064760 티씨케이,-0.1307692307692307
2026-03-10,0.11499801421162774,0.00367346435743863,-0.00708762886597935,032820 우리기술,0.1936416184971099,226950 올릭스,-0.0827586206896552
2026-03-11,0.023094316072551538,0.05977712300748976,0.034741685258552896,038500 삼표시멘트,0.2994269340974211,048410 현대바이오,-0.0445009535918626
2026-03-12,0.014988102563073471,0.006270346744269397,-0.0090321958743011,015750 성우하이텍,0.0619718309859154,087010 펩트론,-0.0413907284768212
2026-03-13,0.00728787775001122,-0.004219975922411431,-0.019702521497650352,047040 대우건설,0.1778202676864244,038500 삼표시멘트,-0.0990099009900989
2026-03-16,-0.036478826142679915,-0.01721876872484992,-0.029058441558441547,031980 피에스케이홀딩스,0.0700389105058365,038500 삼표시멘트,-0.0604395604395604
2026-03-17,-0.005275531804286553,-0.006482300400275409,0.0019942067736185,009830 한화솔루션,0.0738327654480155,043260 성호전자,-0.0961538461538461
2026-03-18,0.03235554504865742,0.07731088490117674,0.04488347651692655,047040 대우건설,0.2279108175061932,222080 씨아이에스,-0.0023183925811437
2026-03-19,0.013822393273334187,-0.005505762275449511,-0.011050556773831249,047040 대우건설,0.0874243443174176,018880 한온시스템,-0.0659090909090909
2026-03-20,0.0106657306903571,0.05443115305519556,0.02500586186105705,047040 대우건설,0.1818181818181818,090710 휴림로봇,-0.0216329378925331
2026-03-23,0.01752004747373922,-0.040671281458512856,-0.04875656096456655,000250 삼천당제약,0.0374862183020947,032500 케이엠더블유,-0.1441578148710166
2026-03-24,0.017272557770661306,-0.021086298048573593,0.012441050375133949,050890 쏠리드,0.0767987065481001,348370 엔켐,-0.2994152046783626
2026-03-25,0.01229400506382167,0.08495736068279446,0.0559944559944559,348370 엔켐,0.2988313856427378,032820 우리기술,-0.044362292051756
2026-03-26,-0.01818566239173629,-0.01303502310694154,-0.01925414659701835,348370 엔켐,0.1568123393316196,050890 쏠리드,-0.0986800754242614
2026-03-27,0.01364303703771209,0.00529781531920004,-0.012308440561111252,047040 대우건설,0.0855345911949685,178320 서진시스템,-0.0637149028077753
2026-03-30,0.0016258379773715602,-0.039083220427920076,-0.042683562086188245,047040 대우건설,0.0046349942062573,032820 우리기술,-0.0769230769230768
2026-03-31,0.00108508471749949,-0.027626509512246007,-0.02292037620417285,014620 성광벤드,0.0308370044052863,047040 대우건설,-0.1032295271049595
2026-04-01,0.027364519524014964,0.10254314139277391,0.0811715135492399,218410 RFHIC,0.256,194480 데브시스터즈,-0.0198915009041591
2026-04-02,0.02893072036462474,-0.05628610420591509,-0.06504572902151101,050890 쏠리드,0.0343170899107756,047040 대우건설,-0.1538857436953165
2026-04-03,0.024855864918086876,0.02507694702390566,0.02755738918861725,050890 쏠리드,0.081619110816191,263750 펄어비스,-0.0453172205438066
2026-04-06,0.0673835763219236,-0.02009785133006204,-0.03954364438704115,348370 엔켐,0.0744985673352436,417200 LS머트리얼즈,-0.062200956937799
2026-04-07,0.01228858030890613,-0.01617620061252427,-0.019418321726132552,066970 엘앤에프,0.0844079718640093,050890 쏠리드,-0.078005115089514
2026-04-08,0.005625312853406731,0.06580319775882505,0.01565277392354365,047040 대우건설,0.2997118155619596,097950 CJ제일제당,-0.0418410041841004
2026-04-09,0.012737423373120157,-0.00032645541049331,-0.0017857142857142998,082920 비츠로셀,0.0694980694980695,050890 쏠리드,-0.0582781456953642
2026-04-10,-0.003884239828393939,0.019069283438859726,0.00952141900937075,034220 LG디스플레이,0.0728813559322034,017670 SK텔레콤,-0.0085287846481876
2026-04-13,0.01793171172635405,-0.009443631617591462,-0.00817225594443725,028670 팬오션,0.0130597014925373,082920 비츠로셀,-0.0353591160220994
2026-04-14,0.006607768820782079,-0.0027195530598425905,-0.00377506265664165,000150 두산,0.0587326120556415,066970 엘앤에프,-0.0456796917996698
2026-04-15,0.004679406506418661,0.03814569373348302,0.0141462615755675,047040 대우건설,0.2127659574468086,093370 후성,-0.0337283500455788
2026-04-16,0.0216099088878506,0.0022912677439743414,-0.02243999756335285,082920 비츠로셀,0.121031746031746,050890 쏠리드,-0.0820484581497797
2026-04-17,0.009168529855797669,0.005430112400919323,-0.014414950129235798,093370 후성,0.2230088495575222,001440 대한전선,-0.0665083135391924
2026-04-20,-0.00115363664205126,-0.00177181986068745,-0.0020790000779624495,347850 디앤디파마텍,0.0392902408111532,093370 후성,-0.0564399421128798
2026-04-21,0.01937202724308794,0.007255430547408119,0.00377691995123925,093370 후성,0.0506134969325153,050890 쏠리드,-0.028705330990041
2026-04-22,0.00335845257029425,0.021585902781601614,0.03235001943592615,036620 감성코퍼레이션,0.0672413793103448,082920 비츠로셀,-0.0207612456747404
2026-04-23,0.00050524698340729,-0.0194105422342926,-0.024480050933786,214370 케어젠,0.1410526315789473,034220 LG디스플레이,-0.1440568475452196
2026-04-24,0.01438758933219072,0.050185968615990374,0.02691664646430865,010060 OCI홀딩스,0.1925465838509317,093370 후성,-0.0452224653537564
2026-04-27,0.00634293203728018,0.03137111520486453,0.01605072256811555,124500 아이티센글로벌,0.1675675675675676,222800 심텍,-0.0326209223847019
2026-04-28,0.02039568273462086,0.0074887658610196,0.01618218031026125,047040 대우건설,0.1189759036144577,036540 SFA반도체,-0.1134538152610441
2026-04-29,0.008433549771270902,-0.0009200974361665392,-0.017004916091835652,001440 대한전선,0.1154684095860567,100790 미래에셋벤처투자,-0.0547263681592039
2026-04-30,0.019759812655607688,-0.019815790750790596,-0.0296413482563095,001440 대한전선,0.099609375,100790 미래에셋벤처투자,-0.0807017543859649
2026-05-04,0.01109118204582844,0.02530571141903607,0.017603158794717348,402340 SK스퀘어,0.1783590963139121,047040 대우건설,-0.0814285714285714
2026-05-06,0.02094700115882019,0.01764085993844321,0.00077760497667185,001440 대한전선,0.1400329489291598,010060 OCI홀딩스,-0.0506329113924051
2026-05-07,0.012702545576387642,-0.01642522267316291,-0.027473981447949852,036930 주성엔지니어링,0.0587774294670846,018880 한온시스템,-0.0942698706099814
2026-05-08,0.015601941056285429,-3.8072626191106017e-06,-0.005845374698965801,005380 현대차,0.0716783216783216,018880 한온시스템,-0.0265306122448979
2026-05-11,0.01859846731698529,0.033030780634386095,-0.0027529078578893496,036930 주성엔지니어링,0.1792656587473002,090710 휴림로봇,-0.035965598123534
2026-05-12,0.01032357193564115,-0.0113145997487253,-0.027131569149302898,218410 RFHIC,0.0817307692307691,018880 한온시스템,-0.0994764397905759
2026-05-13,0.00977886999151455,0.011927249994864617,-0.001232860144829,005380 현대차,0.0990712074303405,062040 산일전기,-0.0304487179487179
2026-05-14,0.019706131724035198,0.00670605938937373,-0.007523587133017101,010060 OCI홀딩스,0.0929535232383809,098460 고영,-0.0541813898704358
2026-05-15,0.01890792955006352,-0.05597877689302564,-0.0706762670996029,066570 LG전자,0.108294930875576,036930 주성엔지니어링,-0.1654761904761904
2026-05-18,0.010759252656222459,0.02733297236381435,-0.0017177517284305503,036930 주성엔지니어링,0.2995720399429387,090710 휴림로봇,-0.0457317073170732
2026-05-19,0.0198045472043799,-0.027541008865049378,-0.0350747430706944,011070 LG이노텍,0.043421052631579,100790 미래에셋벤처투자,-0.0979228486646884
2026-05-20,0.006402795028088509,-0.031001166487865262,-0.027073119980770548,316140 우리금융지주,-0.0066006600660065,088350 한화생명,-0.086206896551724
2026-05-21,0.011650339506319,0.03811069929185928,0.035116280844763,011070 LG이노텍,0.1026315789473684,012750 에스원,0.0086580086580085
2026-05-22,0.020904168572040673,0.05941727699121531,0.02663118921774825,036930 주성엔지니어링,0.2095032397408207,042700 한미반도체,-0.0360902255639097
2026-05-26,0.00673404473292547,0.08040103028311879,0.0520310085007728,011070 LG이노텍,0.2361111111111111,141080 리가켐바이오,-0.0082592121982211
2026-05-27,0.014586738806310978,-0.027500679799148386,-0.0229630339474378,000660 SK하이닉스,0.0930799220272904,036540 SFA반도체,-0.1462306993642144
