evaluation_date,train_start_date,train_end_date,rolling_train_days,prediction_rows,ranking_rmse,ranking_ic,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,top10_average_predicted_return,top10_average_actual_return,top10_hit_rate,portfolio_daily_return,portfolio_cumulative_return,benchmark_return,benchmark_cumulative_return,best_stock,best_stock_return,worst_stock,worst_stock_return,model_version,feature_count,train_rows
2026-03-18,2025-03-06,2026-03-16,250,348,0.038578736801939885,0.2098351338697905,0.0324853575381683,0.028735632183908046,0.037615700459379335,0.5775862068965517,0.03235554504865742,0.07731088490117674,0.2,0.0773108849011767,0.2579659530391582,0.0311192245074384,0.0643236113595022,047040 대우건설,0.2279108175061932,222080 씨아이에스,-0.0023183925811437,production_config_model_version,55,86803
2026-03-19,2025-03-07,2026-03-17,250,348,0.038313138801773866,-0.003620600735552434,0.03378650709233182,0.08333333333333333,0.027836746558745594,0.3850574712643678,0.013822393273334187,-0.005505762275449511,0.2,-0.0055057622754495,0.2510398915511154,-0.0176834529947527,0.0455026948068209,047040 대우건설,0.0874243443174176,018880 한온시스템,-0.0659090909090909,production_config_model_version,55,86805
2026-03-20,2025-03-10,2026-03-18,250,348,0.04367922019803687,0.1386442891229143,0.01619619498071408,0.8074712643678161,0.036673448160040034,0.49137931034482757,0.0106657306903571,0.05443115305519556,0.3,0.0544311530551956,0.3191354353662894,0.0226427037491659,0.0691757025942862,047040 대우건설,0.1818181818181818,090710 휴림로봇,-0.0216329378925331,production_config_model_version,55,86807
2026-03-23,2025-03-11,2026-03-19,250,348,0.07365763401981433,-0.26171306800671124,0.037873686877463744,0.3994252873563218,0.0388064021393925,0.6695402298850575,0.01752004747373922,-0.040671281458512856,0.3,-0.0406712814585128,0.2654845067926092,-0.0568397935758874,0.0084039763624725,000250 삼천당제약,0.0374862183020947,032500 케이엠더블유,-0.1441578148710166,production_config_model_version,55,86809
2026-03-24,2025-03-12,2026-03-20,250,348,0.04003468483832125,0.04312620226764645,0.03196710149560877,0.9885057471264368,0.03444534879229108,0.5057471264367817,0.017272557770661306,-0.021086298048573593,0.0,-0.0210862980485735,0.2388001233065282,0.0224265066191057,0.0310189548130979,050890 쏠리드,0.0767987065481001,348370 엔켐,-0.2994152046783626,production_config_model_version,55,86811
2026-03-25,2025-03-13,2026-03-23,250,348,0.05025613032074645,-0.12862273266771027,0.02336393430900178,0.9022988505747126,0.04035279948300188,0.4166666666666667,0.01229400506382167,0.08495736068279446,0.3,0.0849573606827944,0.3440453121961713,0.0231127356276891,0.0548486233428295,348370 엔켐,0.2988313856427378,032820 우리기술,-0.044362292051756,production_config_model_version,55,86813
2026-03-26,2025-03-14,2026-03-24,250,348,0.03430969401077976,0.10360347630477612,0.02218494965153021,0.39080459770114945,0.028728729688493056,0.8477011494252874,-0.01818566239173629,-0.01303502310694154,0.1,-0.0130350231069415,0.3265256504949176,-0.0147472100631069,0.0392925491096136,348370 엔켐,0.1568123393316196,050890 쏠리드,-0.0986800754242614,production_config_model_version,55,86815
2026-03-27,2025-03-17,2026-03-25,250,348,0.03364883527330188,-0.17799275511267862,0.029593000990502074,0.10919540229885058,0.03761951511847579,0.8362068965517241,0.01364303703771209,0.00529781531920004,0.2,0.0052978153192,0.3335533384074214,0.0036313447716797,0.0430665786740687,047040 대우건설,0.0855345911949685,178320 서진시스템,-0.0637149028077753,production_config_model_version,55,86817
2026-03-30,2025-03-18,2026-03-26,250,348,0.03813723125200103,0.07187171704674905,0.05094029560564237,0.10632183908045977,0.03433396697195198,0.33620689655172414,0.0016258379773715602,-0.039083220427920076,0.0,-0.0390832204279201,0.2814337793300554,-0.0264632591556354,0.0154636374860348,047040 대우건설,0.0046349942062573,032820 우리기술,-0.0769230769230768,production_config_model_version,55,86819
2026-03-31,2025-03-19,2026-03-27,250,348,0.032957622722508614,0.3414868813620136,0.02465965370084792,0.3390804597701149,0.03406141912280105,0.6954022988505747,0.00108508471749949,-0.027626509512246007,0.1,-0.027626509512246,0.2460322368360803,-0.0244477067638396,-0.0093621197525657,014620 성광벤드,0.0308370044052863,047040 대우건설,-0.1032295271049595,production_config_model_version,55,86821
