date,feature_date,target_date,ticker,prev_close,target_ranking,target_gap,target_intraday,ticker_name,evaluation_date,train_start_date,train_end_date,rolling_train_days,ranking_score,pred_gap,pred_intraday,expected_return,pred_open_price,pred_close_price,AI Score,AI Rank,AI Percentile,rank
2026-05-22,2026-05-21,2026-05-22,125490,15580.0,0.021181001283697043,0.0006418485237484894,0.02052597819114821,한라캐스트,2026-05-22,2025-05-13,2026-05-20,250,0.017557362269281673,0.009124624719639837,0.005525325316670305,0.01464995003631014,15722.16165313199,15809.031710946823,52.4,8 / 348,Top 2%,8
2026-05-22,2026-05-21,2026-05-22,183300,82101.0,0.09864678871146504,0.0,0.09864678871146504,코미코,2026-05-22,2025-05-13,2026-05-20,250,0.017402952967289137,0.009411635073860294,0.005346740113106651,0.014758375186966946,82873.704651199,83316.80881217933,51.8,9 / 348,Top 3%,9
2026-05-22,2026-05-21,2026-05-22,030530,27600.0,0.016304347826086918,-0.0036231884057971175,0.020000000000000018,원익홀딩스,2026-05-22,2025-05-13,2026-05-20,250,0.017151604032217677,0.013615031703220263,0.004864698549482211,0.018479730252702473,27975.774875008876,28111.868586463974,50.9,10 / 348,Top 3%,10
2026-05-26,2026-05-22,2026-05-26,009150,1340000.0,0.17313432835820897,0.09402985074626868,0.07230559345156884,삼성전기,2026-05-26,2025-05-14,2026-05-21,250,0.019070753129005562,-0.0002632864343025497,0.01493721672576768,0.01467393029146513,1339647.1961780346,1359657.796683413,100.0,1 / 348,Top 1%,1
2026-05-26,2026-05-22,2026-05-26,036930,224000.0,0.046875,0.022321428571428603,0.024017467248908186,주성엔지니어링,2026-05-26,2025-05-14,2026-05-21,250,0.013048591450390246,-0.0043616982731720984,0.017215733929211198,0.0128540356560391,223022.97958680944,226862.48386347585,81.5,2 / 348,Top 1%,2
2026-05-26,2026-05-22,2026-05-26,011070,864000.0,0.23611111111111116,0.08217592592592582,0.14224598930481291,LG이노텍,2026-05-26,2025-05-14,2026-05-21,250,0.010171886259206663,-0.003973076787718497,0.013017914165110807,0.00904483737739231,860567.2616554112,871770.0524009458,72.7,3 / 348,Top 1%,3
2026-05-26,2026-05-22,2026-05-26,036540,10250.0,0.0741463414634147,0.022439024390243922,0.050572519083969425,SFA반도체,2026-05-26,2025-05-14,2026-05-21,250,0.008993589272835001,0.010938018398274746,-0.0009958474309629986,0.009942170967311747,10362.114688582316,10351.795603290348,69.1,4 / 348,Top 1%,4
2026-05-26,2026-05-22,2026-05-26,141080,157400.0,-0.008259212198221122,0.04066073697585759,-0.047008547008547064,리가켐바이오,2026-05-26,2025-05-14,2026-05-21,250,0.006216344642410229,0.0025123316195568,0.002374081002787554,0.004886412622344355,157795.44099691825,158170.0601557155,60.6,5 / 348,Top 1%,5
2026-05-26,2026-05-22,2026-05-26,000660,1941000.0,0.057187017001545604,0.03451828954147351,0.021912350597609542,SK하이닉스,2026-05-26,2025-05-14,2026-05-21,250,0.0058033314067402145,-0.0002895480200620811,0.007171675072559,0.006882127052496919,1940437.9872930595,1954354.1780363757,59.3,6 / 348,Top 2%,6
2026-05-26,2026-05-22,2026-05-26,131970,171600.0,0.04137529137529139,0.0524475524475525,-0.010520487264673362,두산테스나,2026-05-26,2025-05-14,2026-05-21,250,0.005347197616381216,-0.003161697407687109,0.006478873228773034,0.003317175821085925,171057.4527248409,172165.712275882,57.9,7 / 348,Top 2%,7
2026-05-26,2026-05-22,2026-05-26,006260,544000.0,0.016544117647058876,0.049632352941176405,-0.031523642732048995,LS,2026-05-26,2025-05-14,2026-05-21,250,0.005074276496611419,-0.002724427840369741,0.005694863838783297,0.002970435998413556,542517.9112548388,545607.4768895363,57.1,8 / 348,Top 2%,8
2026-05-26,2026-05-22,2026-05-26,010060,314500.0,0.1446740858505564,0.08267090620031792,0.05726872246696035,OCI홀딩스,2026-05-26,2025-05-14,2026-05-21,250,0.004972271044830015,0.0001115472634884532,0.0009772056702386101,0.0010887529337270632,314535.08161436714,314842.4470796097,56.8,9 / 348,Top 3%,9
2026-05-26,2026-05-22,2026-05-26,005930,292500.0,0.022222222222222143,0.018803418803418737,0.003355704697986628,삼성전자,2026-05-26,2025-05-14,2026-05-21,250,0.004135973823279411,-0.0009552051529487888,0.00263577376192778,0.0016805686089789913,292220.6024927625,292990.8298895077,54.2,10 / 348,Top 3%,10
