evaluation_date,daily_return,kospi_benchmark_return,universe_equal_weight_return,top10_count,prediction_count,train_start_date,train_end_date,train_rows,unique_train_dates,cumulative_return,kospi_benchmark_cumulative_return,universe_cumulative_return
2026-02-27,0.002970663761299297,-0.007194144759053436,-0.0034741159322068532,10,348,2025-02-17,2026-02-25,86779,250,0.3278632728781161,0.12979769132974917,0.08841201124481657
2026-03-03,-0.0968496441867846,-0.04409028530126535,-0.045011783734186205,10,348,2025-02-18,2026-02-26,86781,250,0.19926018737117146,0.07998458878630954,0.03942064518097421
2026-03-04,-0.16876890948678588,-0.12597046627388725,-0.13320299121646845,10,348,2025-02-19,2026-02-27,86783,250,-0.003137646642379699,-0.05606157343171414,-0.09903329388928317
2026-03-05,0.14900919341854962,0.07614737192611104,0.10371254221793874,10,348,2025-02-20,2026-03-03,86785,250,0.14540400858075642,0.01581685701152913,-0.0055917463448181826
2026-03-06,0.03211349380744555,0.014505400636042205,0.02949912789794224,10,348,2025-02-21,2026-03-04,86787,250,0.1821869331173378,0.03055168749532644,0.023742429912525287
2026-03-09,-0.050873378634220624,-0.04038728178886729,-0.043234379021107175,10,348,2025-02-24,2026-03-05,86789,250,0.12204508965243144,-0.011069493905540018,-0.020518438322302046
2026-03-10,0.003673464357438638,0.026710641687850662,0.02948298620984244,10,348,2025-02-25,2026-03-06,86791,250,0.12616688229670858,0.015345474496933909,0.008359603053436526
2026-03-11,0.05977712300748976,0.017836053288272032,0.009119062041897162,10,348,2025-02-26,2026-03-09,86793,250,0.19348589854672005,0.03345523048606691,0.0175548968342234
2026-03-12,0.0062703467442693835,0.0031898479262249843,0.005149596688992727,10,348,2025-02-27,2026-03-10,86795,250,0.2009694689650039,0.03675179550987906,0.022794894161829227
2026-03-13,-0.004219975922411445,-0.01448628157628475,-0.005287753284515412,10,348,2025-02-28,2026-03-11,86797,250,0.1959014067224203,0.021733117075404262,0.017386607100839502
2026-03-16,-0.017218768724849943,-0.009923671444541092,-0.009516171054373425,10,348,2025-03-04,2026-03-12,86799,250,0.17530945698234413,0.011593773317541078,0.007704982119239423
2026-03-17,-0.006482300400275409,0.02037231168435925,0.012890558736224461,10,348,2025-03-05,2026-03-13,86801,250,0.16769074801890005,0.032202276965523025,0.020694862380033596
2026-03-18,0.07731088490117678,0.03111922450743842,0.02999700143439488,10,348,2025-03-06,2026-03-16,86803,250,0.25796595303915826,0.06432361135950226,0.05131264763092691
2026-03-19,-0.005505762275449522,-0.01768345299475278,-0.020478093212405575,10,348,2025-03-07,2026-03-17,86805,250,0.2510398915511154,0.0455026948068209,0.029783769237359925
2026-03-20,0.0544311530551956,0.02264270374916596,0.019212097401992752,10,348,2025-03-10,2026-03-18,86807,250,0.3191354353662894,0.06917570259428629,0.04956807531493923
2026-03-23,-0.04067128145851288,-0.05683979357588746,-0.058029761896762254,10,348,2025-03-11,2026-03-19,86809,250,0.26548450679260926,0.008403976362472587,-0.011338110190029727
2026-03-24,-0.021086298048573583,0.02242650661910571,0.021733149285472212,10,348,2025-03-12,2026-03-20,86811,250,0.23880012330652822,0.03101895481309791,0.010148626254067539
2026-03-25,0.08495736068279448,0.023112735627689174,0.02832751461759579,10,348,2025-03-13,2026-03-23,86813,250,0.3440453121961713,0.05484862334282958,0.038763626230224
2026-03-26,-0.01303502310694159,-0.014747210063106994,-0.021654527350716848,10,348,2025-03-14,2026-03-24,86815,250,0.32652565049491766,0.03929254910961366,0.01626969087509189
2026-03-27,0.005297815319200039,0.0036313447716797907,0.004171317897613992,10,348,2025-03-17,2026-03-25,86817,250,0.3335533384074214,0.04306657867406871,0.020508874825441836
2026-03-30,-0.0390832204279201,-0.026463259155635497,-0.03212215728255495,10,348,2025-03-18,2026-03-26,86819,250,0.2814337793300554,0.015463637486034854,-0.012272071759944159
2026-03-31,-0.027626509512246024,-0.02444770676383966,-0.0289565773066878,10,348,2025-03-19,2026-03-27,86821,250,0.24603223683608033,-0.009362119752565734,-0.04087329187200184
2026-04-01,0.10254314139277394,0.053589458131800626,0.05953146703597982,10,348,2025-03-20,2026-03-30,86823,250,0.3738042966779169,0.04372562745472974,0.016224928136248096
2026-04-02,-0.05628610420591511,-0.03844979509900855,-0.04419858783125777,10,348,2025-03-21,2026-03-31,86825,250,0.29647820487656973,0.0035945909395111997,-0.02869077860629543
2026-04-03,0.02507694702390568,0.01449278349320467,0.009028825367666578,10,348,2025-03-24,2026-04-01,86827,250,0.3289899201379076,0.01813947006094896,-0.019920997268327634
2026-04-06,-0.020097851330062054,0.0066788259220521414,-0.003108659300524517,10,348,2025-03-25,2026-04-02,86829,250,0.30228007830382486,0.02493944634585632,-0.02296772897541821
2026-04-07,-0.016176200612524293,-0.006282608841078728,-0.006154142915326411,10,348,2025-03-26,2026-04-03,86831,250,0.2812141345034882,0.018500152718673668,-0.028980525204189478
2026-04-08,0.06580319775882504,0.0482492360200025,0.05389435344606402,10,348,2025-03-27,2026-04-06,86833,250,0.3655221215676232,0.06764200697360545,0.02335194157346754
2026-04-09,-0.0003264554104933093,0.003514970268816679,-0.003629119182077211,10,348,2025-03-28,2026-04-07,86835,250,0.3650763394828891,0.0713947368858574,0.019638075412287348
2026-04-10,0.01906928343885974,0.011534838787643545,0.013776804531486305,10,348,2025-03-31,2026-04-08,86837,250,0.39110736711616934,0.08375310245376544,0.033685429870103256
2026-04-13,-0.009443631617591463,-0.006784832553805399,-0.0019031188397249485,10,348,2025-04-01,2026-04-09,86839,250,0.37797026160060665,0.07640001912394956,0.03171820365416833
2026-04-14,-0.002719553059842583,0.015413864612602612,0.017280122058914583,10,348,2025-04-02,2026-04-10,86841,250,0.3742227983592985,0.09299150328772887,0.04954642014371635
2026-04-15,0.03814569373348303,0.017162462732450413,0.0220736285881974,10,348,2025-04-03,2026-04-13,86843,250,0.4266434803470822,0.11174992922978944,0.07271371800804105
2026-04-16,0.0022912677439743236,0.01944949901585812,0.018640779245239884,10,348,2025-04-04,2026-04-14,86845,250,0.42991230253575274,0.13337290838422455,0.09270993761876944
2026-04-17,0.005430112400919296,0.0029456192928229074,0.004835148869193324,10,348,2025-04-07,2026-04-15,86847,250,0.43767688706197916,0.13671139348912398,0.09799335283800326
2026-04-20,-0.0017718198606874514,-0.0004295579651759852,0.001338139898742616,10,348,2025-04-08,2026-04-16,86849,250,0.4351295826002315,0.13622311005594456,0.09946262155199004
2026-04-21,0.007255430547408137,0.014290036918611738,0.013295886145922475,10,348,2025-04-09,2026-04-17,86851,250,0.44554206561331844,0.15245978024642381,0.11408095138984264
2026-04-22,0.021585902781601628,0.009756617418489457,0.008951472563325171,10,348,2025-04-10,2026-04-20,86853,250,0.4767453961083632,0.1637038894124847,0.12405361645953183
2026-04-23,-0.019410542234292637,0.0023854649404029945,-0.001991988900704616,10,348,2025-04-11,2026-04-21,86856,250,0.4480809672279047,0.1664798642416887,0.12181451413174749
2026-04-24,0.050185968615990416,0.015448277862943387,0.021661282611919092,10,348,2025-04-14,2026-04-22,86859,250,0.5207543132026173,0.18449996930602297,0.14611445536050804
2026-04-27,0.03137111520486456,0.007351538757492313,0.012379948006252903,10,348,2025-04-15,2026-04-23,86862,250,0.5684620719603914,0.19320786673862456,0.160303292727086
2026-04-28,0.00748876586101962,0.007018494978171873,0.00030365482757189474,10,348,2025-04-16,2026-04-24,86865,250,0.5802079171791925,0.20158239015924484,0.1606556244233701
2026-04-29,-0.0009200974361665449,0.009616254941005332,0.00801397792455257,10,348,2025-04-17,2026-04-27,86868,250,0.578753971925986,0.2131371127556385,0.16995709297550676
2026-04-30,-0.019815790750790617,-0.011716396035345971,-0.018902972348947628,10,348,2025-04-18,2026-04-28,86871,250,0.5474697135713211,0.19892351789741713,0.1478414263975356
2026-05-04,0.02530571141903607,0.014514903017442696,0.016700974901520647,10,348,2025-04-21,2026-04-29,86874,250,0.5866295355726554,0.2163257764850295,0.1670114972507264
2026-05-06,0.01764085993844322,-0.0026678717771781908,-0.0031812250775707343,10,348,2025-04-22,2026-04-30,86877,250,0.6146190449838898,0.21308077527409064,0.16329897100985913
2026-05-07,-0.01642522267316293,0.0012877308904315024,-0.005369916205040587,10,348,2025-04-23,2026-05-04,86880,250,0.5880985676376997,0.2146428968609997,0.15705215301412623
2026-05-08,-3.807262619126561e-06,0.00034259218730818965,0.0025116212775633633,10,348,2025-04-24,2026-05-06,86883,250,0.5880925213293877,0.2150590240278336,0.15995822982088703
2026-05-11,0.0330307806343861,-0.004560123319691796,-0.004236587268788842,10,348,2025-04-25,2026-05-07,86886,250,0.6405484570285278,0.20951820503756236,0.15504396555210098
2026-05-12,-0.011314599748725318,-0.02140471271820847,-0.022926853399489692,10,348,2025-04-28,2026-05-08,86888,250,0.6219863078688612,0.18362881533129016,0.12856244188392263
2026-05-13,0.01192724999486463,-0.0029395685865501544,-0.001955724349769805,10,348,2025-04-29,2026-05-11,86890,250,0.6413321440510606,0.18014945724760678,0.1263552848360947
2026-05-14,0.006706059389373719,0.033769580084776124,0.02575087291307425,10,348,2025-04-30,2026-05-12,86892,250,0.6523390148867552,0.22000260885613487,0.15535991663087856
2026-05-15,-0.05597877689302566,-0.03358714011500556,-0.039141716996291515,10,348,2025-05-02,2026-05-13,86894,250,0.5598430978207678,0.17902621029181165,0.1101371457452538
2026-05-18,0.027332972363814358,-0.022012111766688103,-0.018670937840903387,10,348,2025-05-07,2026-05-14,86896,250,0.6024782461053892,0.15307335357501373,0.08940984410216624
2026-05-19,-0.02754100886504942,-0.022681678147212673,-0.023020042009300377,10,348,2025-05-08,2026-05-15,86899,250,0.558344378523352,0.12691971488909815,0.06433158372558889
2026-05-20,-0.031001166487865318,-0.026915992980557323,-0.028794487556216428,10,348,2025-05-09,2026-05-18,86901,250,0.5100338849993205,0.09658755175349154,0.03368470118231426
2026-05-21,0.038110699291859326,0.050872023987309736,0.051021897516448436,10,348,2025-05-12,2026-05-19,86903,250,0.5675823323110478,0.1523731799904804,0.08642525607035889
2026-05-22,0.05941727699121534,0.02290209141220139,0.03544677377714465,10,348,2025-05-13,2026-05-20,86905,250,0.6607238059565088,0.17876493589959153,0.12493552634806138
2026-05-26,0.08040103028311882,0.002662291471808959,0.005591886225973264,10,348,2025-05-14,2026-05-21,86907,250,0.7942477109711146,0.18190315173570437,0.13122603782295506
