evaluation_date,train_start_date,train_end_date,rolling_train_days,prediction_rows,ranking_rmse,ranking_ic,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,top10_average_predicted_return,top10_average_actual_return,top10_hit_rate,portfolio_daily_return,portfolio_cumulative_return,benchmark_return,benchmark_cumulative_return,best_stock,best_stock_return,worst_stock,worst_stock_return,feature_count,train_rows
2026-03-03,2025-07-16,2026-02-26,150,348,0.09150496960925295,-0.20146263385855112,0.03824945223205263,0.19540229885057472,0.05988555101878409,0.12643678160919541,0.031542520709287744,-0.06767972102347274,0.0,-0.0676797210234727,0.2003980526654265,-0.0440902853012653,0.0799845887863095,036930 주성엔지니어링,0.0516934046345811,290650 엘앤씨바이오,-0.1237322515212981,55,52158
2026-03-04,2025-07-17,2026-02-27,150,348,0.15003619605798035,-0.2113515425499273,0.050191355542113805,0.20977011494252873,0.11872932560201072,0.022988505747126436,0.01995248148569214,-0.1660657147050398,0.0,-0.1660657147050398,0.0010530921190043,-0.1259704662738872,-0.0560615734317141,043260 성호전자,-0.0952380952380952,032820 우리기술,-0.2520515826494724,55,52159
2026-03-05,2025-07-18,2026-03-03,150,348,0.12229722326166799,0.18843913222308586,0.080329074017588,0.9568965517241379,0.07698414376009234,0.35919540229885055,-0.025203230329407376,0.14463910507659944,0.1,0.1446391050765994,0.1458445154972598,0.076147371926111,0.0158168570115291,048410 현대바이오,0.2996604414261461,034220 LG디스플레이,0.0572727272727273,55,52160
2026-03-06,2025-07-21,2026-03-04,150,348,0.04867443916783194,0.1903473050198905,0.028054306726342074,0.20689655172413793,0.05270580763919662,0.8477011494252874,0.02235941672431855,0.052695273136787235,0.1,0.0526952731367872,0.2062251052136776,0.0145054006360422,0.0305516874953264,043260 성호전자,0.2168284789644012,010950 S-Oil,-0.0371195248700816,55,52161
2026-03-09,2025-07-22,2026-03-05,150,348,0.13025964249658803,-0.36717375909873035,0.12008799158792256,0.04310344827586207,0.05722294664261785,0.34770114942528735,0.05278129592708401,-0.05233958319655481,0.1,-0.0523395831965548,0.1430917859655731,-0.0403872817888673,-0.01106949390554,087010 펩트론,0.0836501901140684,319660 피에스케이,-0.1456582633053221,55,52162
2026-03-10,2025-07-23,2026-03-06,150,348,0.08929676460904058,0.09385794755268391,0.03592848755477814,0.9626436781609196,0.04078883100903828,0.5545977011494253,0.09993400000268927,-0.003977671850028061,0.1,-0.003977671850028,0.1385449419465396,0.0267106416878506,0.0153454744969339,032820 우리기술,0.1936416184971099,226950 올릭스,-0.0827586206896552,55,52163
2026-03-11,2025-07-24,2026-03-09,150,348,0.04793503082091569,-0.02450395211027321,0.02456708673098358,0.9396551724137931,0.046658852205251226,0.35344827586206895,0.02329982721381395,0.004359898125186119,0.1,0.0043598981251861,0.1435088819043724,0.017836053288272,0.0334552304860669,001430 세아베스틸지주,0.1260096930533119,445680 큐리옥스바이오시스템즈,-0.0482180293501047,55,52164
2026-03-12,2025-07-25,2026-03-10,150,348,0.035484165021603176,-0.04537445238191237,0.012911495924497042,0.7011494252873564,0.02992962997063721,0.5517241379310345,0.01422750736475909,0.0005783500501912491,0.0,0.0005783500501912,0.1441702303236158,0.0031898479262249,0.036751795509879,050890 쏠리드,0.0589239965841161,025320 시노펙스,-0.0564263322884012,55,52165
2026-03-13,2025-07-28,2026-03-11,150,348,0.039110149345834226,0.05986178929264304,0.033827413065564846,0.06609195402298851,0.05224614704132325,0.22126436781609196,0.005676617559707909,-0.00056664668319103,0.1,-0.000566646683191,0.1435218900575969,-0.0144862815762847,0.0217331170754042,047040 대우건설,0.1778202676864244,038500 삼표시멘트,-0.0990099009900989,55,52166
2026-03-16,2025-07-29,2026-03-12,150,348,0.03706664231864893,0.07218451627812303,0.03797657722577479,0.5459770114942529,0.031585001291743846,0.6954022988505747,-0.0361479183233144,-0.01622180983110176,0.0,-0.0162218098311017,0.1249718954193805,-0.009923671444541,0.011593773317541,067310 하나마이크론,0.0126382306477093,025980 아난티,-0.0568319226118501,55,52167
