date,ticker,open,high,low,close,volume,trading_value
2026-06-17,082270,14190,15720,13420,14310,499104,7142178240
2026-06-17,082740,61000,69300,59700,65500,2446907,160272408500
2026-06-17,082920,47950,47950,43200,43800,556066,24355690800
2026-06-17,083650,68300,69600,66500,67700,230084,15576686800
2026-06-17,084370,176000,188300,170200,175100,256084,44840308400
2026-06-17,085660,12480,12860,12130,12580,237157,2983435060
2026-06-17,086280,223000,227500,219000,220000,246393,54206460000
2026-06-17,086520,123800,123900,120700,122800,549734,67507335200
2026-06-17,086790,135200,135200,126400,126800,482592,61192665600
2026-06-17,087010,237000,249000,229500,239500,172905,41410747500
2026-06-17,088350,5640,6350,5570,5700,30725298,175134198600
2026-06-17,089030,59500,64400,58500,62100,2867080,178045668000
2026-06-17,089970,90000,94500,85200,87600,713161,62472903600
2026-06-17,090360,104900,105700,101000,103500,154123,15951730500
2026-06-17,090430,111600,112000,108400,109900,178617,19630008300
2026-06-17,090710,10990,11060,10760,10970,1558814,17100189580
2026-06-17,093370,18800,19900,17260,17580,10599431,186337996980
2026-06-17,095340,199700,205500,191300,194700,225540,43912638000
2026-06-17,095610,166800,177900,165000,169400,344696,58391502400
2026-06-17,095660,19510,19890,19080,19480,45726,890742480
2026-06-17,096530,28500,30200,28500,29500,487023,14367178500
2026-06-17,096770,112600,113200,108900,109000,456434,49751306000
2026-06-17,097950,200000,200500,197000,197300,69193,13651778900
2026-06-17,098460,35750,36200,35050,35500,1363480,48403540000
2026-06-17,099320,112100,118200,103400,115200,97874,11275084800
2026-06-17,100790,29550,29550,26850,27200,2651125,72110600000
2026-06-17,101490,63100,64500,61300,63200,296131,18715479200
2026-06-17,101730,3560,3625,3465,3550,84633,300447150
2026-06-17,103140,78100,78700,75200,76100,101535,7726813500
2026-06-17,105560,175400,176500,163500,164000,1530191,250951324000
2026-06-17,108490,316000,316000,302500,308500,114226,35238721000
2026-06-17,111770,81800,82700,79500,79800,69171,5519845800
2026-06-17,112040,18050,18520,17720,18160,98941,1796768560
2026-06-17,112610,54300,54300,49550,49900,2351335,117331616500
2026-06-17,120110,71900,72900,70400,71100,194933,13859736300
2026-06-17,121600,61600,61600,60000,60500,30280,1831940000
2026-06-17,122870,46400,49050,45350,48300,140228,6773012400
2026-06-17,124500,34200,36900,32100,36350,394611,14344109850
2026-06-17,125490,12460,12460,11950,12070,446801,5392888070
2026-06-17,128940,443500,462500,423500,446500,186759,83387893500
2026-06-17,131290,248500,265500,243500,252500,87552,22106880000
2026-06-17,131970,150300,152700,143200,146700,281751,41332871700
2026-06-17,137310,7200,7350,7060,7210,61199,441244790
2026-06-17,137400,43200,43500,42150,42800,100599,4305637200
2026-06-17,138040,115500,116500,113800,114300,171054,19551472200
2026-06-17,138930,18580,19020,18170,18170,1194991,21712986470
2026-06-17,139130,18200,18300,17770,17820,559323,9967135860
2026-06-17,139480,91800,91800,88700,88900,158778,14115364200
2026-06-17,140860,249000,261500,247000,254500,38597,9822936500
2026-06-17,141080,143200,151400,137200,146100,384460,56169606000
2026-06-17,145020,242500,260000,236500,258000,59202,15274116000
2026-06-17,161390,70300,71000,66900,67800,469884,31858135200
2026-06-17,161580,42900,43400,42000,43000,98258,4225094000
2026-06-17,161890,88000,90900,85200,88400,286295,25308478000
2026-06-17,166090,70900,75000,69500,72000,201828,14531616000
2026-06-17,171090,75700,76200,70700,73300,65450,4797485000
2026-06-17,175330,28750,28900,27150,27250,507564,13831119000
2026-06-17,178320,73700,73700,68600,68900,1185617,81689011300
2026-06-17,180640,128200,128200,121600,122600,75894,9304604400
