,trading_value,return_1d,return_3d,return_5d,return_20d,return_60d,close_ma5_ratio,close_ma20_ratio,close_ma60_ratio,momentum_5d,momentum_20d,momentum_diff,momentum_accel,relative_return_5d_vs_market,relative_return_20d_vs_market,relative_return_20d_vs_sector,momentum_rank_pct,volume_change_1d,relative_trading_value,trading_value_rank_pct,volatility_5d,volatility_20d,intraday_range_5d,atr_percent,volatility_rank_pct,body,upper_shadow,lower_shadow,body_ratio,close_position,high_20d,low_20d,close_to_20d_high,close_to_20d_low,breakout_strength,breakout_rank_pct,rsi14,rsi_change_5d,macd_hist_ratio,bb_position,bb_width,bb_position_change_5d,rsi_rank_pct,macd_rank_pct,bb_position_rank_pct,atr_rank_pct,return_5d_rank_pct,return_20d_rank_pct,momentum_20d_rank_pct,momentum_diff_rank_pct,volume_change_rank_pct,bb_width_rank_pct,low_rebound_rank_pct,relative_return_5d_rank_pct,sector_relative_rank_pct,nasdaq_return_1d,sox_return_1d,sp500_return_1d,vix_change_1d,usdkrw_return_1d,wti_return_1d
relative_return_5d_vs_market,0.11286126615440678,0.39536966162635967,0.6990512872799131,0.9066712599720964,0.4687675604132049,0.30942193220465447,0.7266982283866923,0.7089276999836288,0.4834771495832139,0.9066712599720964,0.4687675604132049,-0.030031397608384316,0.28608443973478925,1.0,0.5108738002929574,0.5108738002929574,0.4375389837491687,0.10005453282654363,0.38082320092428906,0.3369321260691278,0.3111610470380335,0.13069339288033585,0.258919708868243,-0.03540414987836701,0.1187318239181736,0.34926086654431704,0.1750017861983957,0.14609370034532715,0.009767066910061508,0.23982787120206936,0.02622376826569461,0.00646040761484737,0.435336999558338,0.531967058096654,0.5368677445316262,0.5855715971897335,0.5592130221030593,0.6901687624373769,0.6009838783223803,0.6100563052935142,0.1808422768193058,0.5974178168246428,0.5837273394072734,0.5924958744726899,0.6485614560625806,0.008658456636254903,0.8524682679225679,0.4375389837491687,0.4375389837491687,0.0016591955169326241,0.01989018836798505,0.11333769981978119,0.5230568650383471,0.8524682679225679,0.4375389837491687,-0.00016326183820532405,-6.217834229030556e-05,-0.00019054178857932935,0.00025572215036958116,-0.00011850126496835792,4.6366035116992494e-05
relative_return_20d_vs_market,0.17478205860146326,0.2056961894165495,0.3594552735242639,0.46306728525579177,0.9175808274306536,0.602632685068163,0.3685057435041412,0.7712419799090771,0.8040304616063189,0.46306728525579177,0.9175808274306536,-0.8010605839049246,0.007797255735111918,0.5108738002929574,1.0,1.0,0.8507531805331486,0.04296121351230769,0.19649606553863394,0.17807968881860883,0.29455162103433885,0.34260946418023974,0.3541804544712731,0.2128594856694541,0.28704990304301975,0.18670564353516647,0.17584451241712185,0.19084471463601654,-0.012822017552687694,0.13909701693731644,0.08228424612051205,0.027676050396177123,0.40181686571204095,0.8151894095274359,0.5961874512843547,0.6422672344919019,0.6938951562406073,0.1085834923847725,0.48668413298880747,0.5571122014105746,0.4428311001649856,0.02618831616720734,0.7226228199092483,0.4805502515310011,0.6041772524366129,0.21837022347031187,0.4045345432957369,0.8507531805331486,0.8507531805331486,-0.7322712760196287,-0.005441948118964314,0.26875862490874625,0.6718288097729922,0.4045345432957369,0.8507531805331486,-7.370769399892775e-05,-1.9075436507602514e-05,-7.674187743789447e-05,0.0001124769571338615,-0.00010191424145776134,2.1461368969137825e-05
relative_return_20d_vs_sector,0.17478205860146326,0.2056961894165495,0.3594552735242639,0.46306728525579177,0.9175808274306536,0.602632685068163,0.3685057435041412,0.7712419799090771,0.8040304616063189,0.46306728525579177,0.9175808274306536,-0.8010605839049246,0.007797255735111918,0.5108738002929574,1.0,1.0,0.8507531805331486,0.04296121351230769,0.19649606553863394,0.17807968881860883,0.29455162103433885,0.34260946418023974,0.3541804544712731,0.2128594856694541,0.28704990304301975,0.18670564353516647,0.17584451241712185,0.19084471463601654,-0.012822017552687694,0.13909701693731644,0.08228424612051205,0.027676050396177123,0.40181686571204095,0.8151894095274359,0.5961874512843547,0.6422672344919019,0.6938951562406073,0.1085834923847725,0.48668413298880747,0.5571122014105746,0.4428311001649856,0.02618831616720734,0.7226228199092483,0.4805502515310011,0.6041772524366129,0.21837022347031187,0.4045345432957369,0.8507531805331486,0.8507531805331486,-0.7322712760196287,-0.005441948118964314,0.26875862490874625,0.6718288097729922,0.4045345432957369,0.8507531805331486,-7.370769399892775e-05,-1.9075436507602514e-05,-7.674187743789447e-05,0.0001124769571338615,-0.00010191424145776134,2.1461368969137825e-05
momentum_rank_pct,0.11155665385998886,0.18152632111802436,0.309490386320988,0.3965936073744534,0.7806345392337631,0.4490742265029528,0.3244738080827671,0.6772120351994874,0.669018261766005,0.3965936073744534,0.7806345392337631,-0.6800113419363669,0.00925361523595825,0.4375389837491687,0.8507531805331486,0.8507531805331486,1.0,0.046989358076000395,0.18373061258245058,0.18142971392016688,0.19446782439826335,0.22376349584322694,0.2385374004489076,0.1213632181144155,0.21561184227644092,0.16655158322480704,0.12467403874194867,0.14383121381211883,-0.022725298946711603,0.15401545651906406,0.046518721969683194,0.021207626740778213,0.4969424299382156,0.6000286849830966,0.6956397885014219,0.7580007956564003,0.7350522046279416,0.12678373772009474,0.44946878348678837,0.6485025571419396,0.21806446775452762,0.0413310461013431,0.8362030218617281,0.5136174899668287,0.720690535958586,0.13814134606212816,0.4362814040906188,1.0,1.0,-0.833498162799495,-0.004549989548495194,0.1543460078100807,0.7298318283989392,0.4362814040906188,1.0,-5.313774919309174e-05,7.99799943723136e-07,-5.6059941687361206e-05,0.00013884563764169201,-0.00014274757372548984,4.6868303666215734e-05
volume_change_1d,0.005678431710825185,0.25013887673537444,0.13377807402183944,0.09696407110495964,0.042852740545007165,0.01510150494957584,0.17038981506971426,0.08484514875365122,0.04012880352217879,0.09696407110495964,0.042852740545007165,0.005593997451095584,0.18165330318938153,0.10005453282654363,0.04296121351230769,0.04296121351230769,0.046989358076000395,1.0,0.6401202657913517,0.2828396031774786,0.10511297255040565,0.048049882834535214,0.047652684764109755,0.007686885987277438,0.05292635626710037,0.21026978703793264,0.16874514565425147,0.02709968213491385,0.11738761659358483,0.06419984003329715,-0.02046429344039856,-0.02096399293726796,0.04328394018967929,0.05697954668881524,0.06932301098584752,0.06675947056050592,0.06819143332427476,0.09447159872404388,0.03247938494612327,0.10368981050559958,0.0005855991319960708,0.10306814663287053,0.06599583763807351,0.0420109266619953,0.08188151825783836,0.027334262892476997,0.08005085842203447,0.046989358076000395,0.046989358076000395,0.005892039034639585,0.431551158884825,0.01764078108481742,0.05913098761125646,0.08005085842203447,0.046989358076000395,-0.0009469559413343155,0.00469896071483181,0.0001858493203862611,0.003010783136679364,-0.01669027970627928,-0.009369802284958156
relative_trading_value,0.07019473569689369,0.3566293408678046,0.3996587202582342,0.3800210771393505,0.21518800075843733,0.09071950505274572,0.4239523458597918,0.3604806548008502,0.19812791923896186,0.3800210771393505,0.21518800075843733,-0.034105987136802546,0.22430032037660588,0.38082320092428906,0.19649606553863394,0.19649606553863394,0.18373061258245058,0.6401202657913517,1.0,0.6391081480052505,0.28021617599556164,0.03747509110295112,0.22207835303945406,-0.026786518745617344,0.04915107662038698,0.2914656894832905,0.2887741144855661,0.13316312049222317,0.14956137945031278,0.12145330670326776,0.0018345226093405827,-0.0039028638070983837,0.22116306396057164,0.23994944088744488,0.27387922493301475,0.2508521466768136,0.29328606060484036,0.2951291743816472,0.2710959535414836,0.3436617630912369,0.04476390557496948,0.2608742058403548,0.24480738082464387,0.25257999717951346,0.2866456986360086,0.006183685111233363,0.28386594265040765,0.1837306125824506,0.1837306125824506,-0.019394651072138405,0.36669009421244003,0.030726399604224533,0.1997585944573795,0.28386594265040765,0.1837306125824506,0.00391047478006778,0.008791541323839941,0.0022007248980016863,0.012511417868552336,-0.022300863595229578,0.005490894410750047
trading_value_rank_pct,0.08916363375839215,0.1968692649336892,0.28145827360901293,0.30522931471833636,0.16331865741336613,0.0712236373945566,0.293771508126878,0.2998949326074598,0.15533828074493292,0.30522931471833636,0.16331865741336613,-0.01647764891324156,0.09341229962219857,0.3369321260691278,0.17807968881860883,0.17807968881860883,0.18142971392016688,0.2828396031774786,0.6391081480052505,1.0,0.18131567929509365,-0.0941920285857175,0.13751954656360954,-0.11271825367947742,-0.1058443798397199,0.16765121298157165,0.17652137133093598,0.09126845059753069,0.16069043322419704,0.10908174818912583,0.03345288048450401,0.03664496731081247,0.306127931361711,0.16434889508341133,0.2907071318518924,0.3124652662055337,0.25402330086353636,0.24861737851953183,0.27764457341501175,0.3007300725248404,-0.04781660056480858,0.21735111033245566,0.2660313919793762,0.314979094789673,0.31745426361561374,-0.11768264486343102,0.32137470792896783,0.18142971392016682,0.18142971392016682,-0.025971903119075483,0.4491423221129625,-0.08403932986315032,0.17279799136727894,0.32137470792896783,0.18142971392016682,-9.485035839648847e-07,-3.902283970273892e-05,2.0213732051633607e-05,-0.00014619760151936205,8.334777894302597e-05,-0.0001292240246951707
volatility_5d,0.11224286909782429,0.10841945709428531,0.18890288893812832,0.2552130574605873,0.26393110612504206,0.283617889361763,0.16512864220221715,0.2577287903061374,0.29385133428233906,0.2552130574605873,0.26393110612504206,-0.16217898015462076,0.030541870616912083,0.3111610470380335,0.29455162103433885,0.29455162103433885,0.19446782439826335,0.10511297255040565,0.28021617599556164,0.18131567929509365,1.0,0.6767466158328711,0.8128789785542473,0.632665328880066,0.5434597559609406,0.07962355604836518,0.2848637526131785,0.27766118904246073,0.13191923472989225,0.038251255739658846,0.0886154152847015,0.030597981309099877,-0.24037754597531913,0.4686881918797372,0.12588153096012286,0.16371496662342502,0.1902564199122925,0.08610565382815734,0.10978971721037466,0.16764042425335146,0.5330340438389634,0.07843578005156167,0.2141441263364646,0.18305566526435635,0.20605613433811543,0.5015127236185606,0.20279582007265387,0.19446782439826343,0.19446782439826343,-0.09223728965026663,-0.049681936980958304,0.41045650313647764,0.37739784965887174,0.20279582007265387,0.19446782439826343,-0.005624759733759982,0.011624882893154043,-0.010714372733512806,0.00697716545490478,-0.0025417690465552546,0.04028170300567286
volatility_20d,0.10378245821751138,0.04850183985618997,0.08351864711290503,0.11309603958572977,0.3149535744663672,0.37566165054520595,0.06190120640122326,0.19847850863987684,0.334723442137019,0.11309603958572977,0.3149535744663672,-0.30091406257379644,-0.01421319284172024,0.13069339288033585,0.34260946418023974,0.34260946418023974,0.22376349584322694,0.048049882834535214,0.03747509110295112,-0.0941920285857175,0.6767466158328711,1.0,0.7391241361270048,0.8721154123934292,0.7974044865755789,0.02699669278783522,0.31136030080619664,0.30904812131726606,0.04866085176994063,0.009510236364692204,0.11643276542770856,0.03654177213219721,-0.4342034709763038,0.5728983561462329,0.086315392249802,0.09170032345258901,0.17511554958502246,-0.03671930754362554,0.009302877799458636,0.11563923804000112,0.745231259207395,-0.03406069315014026,0.17496592586294354,0.04926276774516744,0.1267410354316184,0.712360977916786,0.03641297184676216,0.22376349584322694,0.22376349584322694,-0.20616409347498263,-0.03466925569142903,0.6100439014468132,0.4446216034420814,0.03641297184676216,0.22376349584322694,-0.004142643564402348,0.0176113154514154,-0.00480266246016541,-0.004782311406816824,0.0049406796610523196,0.0381978406623698
intraday_range_5d,0.07891842903834119,0.05133628978685895,0.12240397768129696,0.1958452036743491,0.3246152065772703,0.37554593406393066,0.0963413482536012,0.26956111681397377,0.36371986708323356,0.1958452036743491,0.3246152065772703,-0.2661495360007427,-0.037031553694342266,0.258919708868243,0.3541804544712731,0.3541804544712731,0.2385374004489076,0.047652684764109755,0.22207835303945406,0.13751954656360954,0.8128789785542473,0.7391241361270048,1.0,0.8098089403581691,0.6293233858521998,0.03241259193724911,0.43138031296582213,0.4099008936764672,0.07048915785628874,0.015028868708013647,0.08007463941087144,0.0048422343288207935,-0.32892128650235497,0.5581992068508999,0.12472765961757545,0.17715301088384897,0.21842103051799117,0.005021790930025664,0.08946517448648454,0.16113589600890008,0.6559775589127023,-0.0027791193873231653,0.24884648953920224,0.16404740668739168,0.2159403550737559,0.6749991986007734,0.1441805856478036,0.2385374004489076,0.2385374004489076,-0.16555974311769364,-0.053355967683278126,0.5263253517704265,0.4603731761687055,0.1441805856478036,0.2385374004489076,-0.01395308308165144,0.007543332714906325,-0.015482332796802197,0.009770854218973493,0.026056365305310518,0.03834279726598066
atr_percent,0.06517745649401377,-0.05895446996734889,-0.07564883632049857,-0.06676408402217822,0.17082192585551534,0.32713221260876796,-0.1062448710679462,0.009044499992685367,0.2218015210326308,-0.06676408402217822,0.17082192585551534,-0.23643941936769788,-0.05514517785720223,-0.03540414987836701,0.2128594856694541,0.2128594856694541,0.1213632181144155,0.007686885987277438,-0.026786518745617344,-0.11271825367947742,0.632665328880066,0.8721154123934292,0.8098089403581691,1.0,0.7108322614181894,-0.06457294117383829,0.3498413140329789,0.34829497029514206,0.03548834515480486,-0.04225339060345177,0.10061379131416787,0.018006293708163555,-0.5743043486953289,0.43417694142210517,-0.047941163628933824,-0.002038135641571143,0.04615456460839487,-0.1519040398302228,-0.17521403277014375,-0.028574131650007432,0.718164768277255,-0.12073170419280331,0.08206224271909425,-0.0709817573133093,0.023503462593579775,0.790476601676882,-0.08592439656537358,0.1213632181144155,0.1213632181144155,-0.16587337911413028,-0.044101626319113435,0.5927666915787047,0.35810141812034946,-0.08592439656537358,0.1213632181144155,-0.011448520375922902,0.018135398440074443,-0.012499956688848094,-0.0004488938676211788,0.024833269405891062,0.015701247656535633
volatility_rank_pct,0.06633834750227073,0.04070804447684623,0.0783429083387022,0.10761976307649601,0.2633912194494854,0.2861090867537497,0.06417596633403007,0.1812458107737148,0.27003872831886283,0.10761976307649601,0.2633912194494854,-0.24426862515414022,-0.010600420962888093,0.1187318239181736,0.28704990304301975,0.28704990304301975,0.21561184227644092,0.05292635626710037,0.04915107662038698,-0.1058443798397199,0.5434597559609406,0.7974044865755789,0.6293233858521998,0.7108322614181894,1.0,0.021188839833855364,0.2608017935640013,0.26022234834541635,0.05781814779446786,0.0008528478102047476,0.04884951175945303,-0.009382225470851126,-0.3454678205969685,0.4626365421370727,0.09384449769030712,0.09724090966052272,0.18574809766660205,-0.021909787189004,0.03618041876855177,0.12719410197769726,0.6089004150046425,-0.03202642801338364,0.18744510718741073,0.040931086551199695,0.13408094441864774,0.8788898908978034,0.04167649209180305,0.21561184227644092,0.21561184227644092,-0.19732038443881417,-0.0387374828549757,0.7272672798739961,0.5032241998776943,0.04167649209180305,0.21561184227644092,-0.0001270500034338806,-0.00011685588306839314,-0.00012286438335582658,1.24970413743893e-05,-4.9372427834683175e-05,-8.777843984529027e-05
